Node,Commodity,Day,Month,Year,Timestep,Value
London Storages,water,100.0,4,2020.0,100,202828.0
Farmoor,water,101.0,4,2020.0,101,13822.0
London Storages,water,101.0,4,2020.0,101,202828.0
Farmoor,water,102.0,4,2020.0,102,13822.0
London Storages,water,102.0,4,2020.0,102,202828.0
Farmoor,water,103.0,4,2020.0,103,13822.0
London Storages,water,103.0,4,2020.0,103,202828.0
Farmoor,water,104.0,4,2020.0,104,13822.0
London Storages,water,104.0,4,2020.0,104,202828.0
Farmoor,water,105.0,4,2020.0,105,13822.0
London Storages,water,105.0,4,2020.0,105,202828.0
Farmoor,water,106.0,4,2020.0,106,13822.0
London Storages,water,106.0,4,2020.0,106,202828.0
Farmoor,water,107.0,4,2020.0,107,13822.0
London Storages,water,107.0,4,2020.0,107,202828.0
Farmoor,water,108.0,4,2020.0,108,13822.0
London Storages,water,108.0,4,2020.0,108,202828.0
Farmoor,water,109.0,4,2020.0,109,13822.0
London Storages,water,109.0,4,2020.0,109,202828.0
Farmoor,water,110.0,4,2020.0,110,13822.0
London Storages,water,110.0,4,2020.0,110,202828.0
Farmoor,water,111.0,4,2020.0,111,13822.0
London Storages,water,111.0,4,2020.0,111,202828.0
Farmoor,water,112.0,4,2020.0,112,13822.0
London Storages,water,112.0,4,2020.0,112,202828.0
Farmoor,water,113.0,4,2020.0,113,13822.0
London Storages,water,113.0,4,2020.0,113,202828.0
Farmoor,water,114.0,4,2020.0,114,13822.0
London Storages,water,114.0,4,2020.0,114,202828.0
Farmoor,water,115.0,4,2020.0,115,13822.0
London Storages,water,115.0,4,2020.0,115,202828.0
Farmoor,water,116.0,4,2020.0,116,13822.0
London Storages,water,116.0,4,2020.0,116,202828.0
Farmoor,water,117.0,4,2020.0,117,13822.0
London Storages,water,117.0,4,2020.0,117,202828.0
Farmoor,water,118.0,4,2020.0,118,13822.0
London Storages,water,118.0,4,2020.0,118,202828.0
Farmoor,water,119.0,4,2020.0,119,13822.0
London Storages,water,119.0,4,2020.0,119,202828.0
Farmoor,water,120.0,4,2020.0,120,13822.0
London Storages,water,120.0,4,2020.0,120,202828.0
Farmoor,water,121.0,4,2020.0,121,13822.0
London Storages,water,121.0,4,2020.0,121,202828.0
Farmoor,water,122.0,5,2020.0,122,13822.0
London Storages,water,122.0,5,2020.0,122,202828.0
Farmoor,water,123.0,5,2020.0,123,13822.0
London Storages,water,123.0,5,2020.0,123,202828.0
Farmoor,water,124.0,5,2020.0,124,13822.0
London Storages,water,124.0,5,2020.0,124,202828.0
Farmoor,water,125.0,5,2020.0,125,13822.0
London Storages,water,125.0,5,2020.0,125,202828.0
Farmoor,water,126.0,5,2020.0,126,13822.0
London Storages,water,126.0,5,2020.0,126,202828.0
Farmoor,water,127.0,5,2020.0,127,13822.0
London Storages,water,127.0,5,2020.0,127,202828.0
Farmoor,water,128.0,5,2020.0,128,13822.0
London Storages,water,128.0,5,2020.0,128,202828.0
Farmoor,water,129.0,5,2020.0,129,13822.0
London Storages,water,129.0,5,2020.0,129,202828.0
Farmoor,water,130.0,5,2020.0,130,13822.0
London Storages,water,130.0,5,2020.0,130,202828.0
Farmoor,water,131.0,5,2020.0,131,13822.0
London Storages,water,131.0,5,2020.0,131,202828.0
Farmoor,water,132.0,5,2020.0,132,13822.0
London Storages,water,132.0,5,2020.0,132,202828.0
Farmoor,water,133.0,5,2020.0,133,13822.0
London Storages,water,133.0,5,2020.0,133,202828.0
Farmoor,water,134.0,5,2020.0,134,13822.0
London Storages,water,134.0,5,2020.0,134,202828.0
Farmoor,water,135.0,5,2020.0,135,13822.0
London Storages,water,135.0,5,2020.0,135,202828.0
Farmoor,water,136.0,5,2020.0,136,13822.0
London Storages,water,136.0,5,2020.0,136,202828.0
Farmoor,water,137.0,5,2020.0,137,13822.0
London Storages,water,137.0,5,2020.0,137,202828.0
Farmoor,water,138.0,5,2020.0,138,13822.0
London Storages,water,138.0,5,2020.0,138,202828.0
Farmoor,water,139.0,5,2020.0,139,13822.0
London Storages,water,139.0,5,2020.0,139,202828.0
Farmoor,water,140.0,5,2020.0,140,13822.0
London Storages,water,140.0,5,2020.0,140,202828.0
Farmoor,water,141.0,5,2020.0,141,13822.0
London Storages,water,141.0,5,2020.0,141,202828.0
Farmoor,water,142.0,5,2020.0,142,13822.0
London Storages,water,142.0,5,2020.0,142,202828.0
Farmoor,water,143.0,5,2020.0,143,13822.0
London Storages,water,143.0,5,2020.0,143,202828.0
Farmoor,water,144.0,5,2020.0,144,13822.0
London Storages,water,144.0,5,2020.0,144,202828.0
Farmoor,water,145.0,5,2020.0,145,13822.0
London Storages,water,145.0,5,2020.0,145,202828.0
Farmoor,water,146.0,5,2020.0,146,13822.0
London Storages,water,146.0,5,2020.0,146,202828.0
Farmoor,water,147.0,5,2020.0,147,13822.0
London Storages,water,147.0,5,2020.0,147,202828.0
Farmoor,water,148.0,5,2020.0,148,13822.0
London Storages,water,148.0,5,2020.0,148,202828.0
Farmoor,water,149.0,5,2020.0,149,13822.0
London Storages,water,149.0,5,2020.0,149,202828.0
Farmoor,water,150.0,5,2020.0,150,13822.0
London Storages,water,150.0,5,2020.0,150,202828.0
Farmoor,water,151.0,5,2020.0,151,13822.0
London Storages,water,151.0,5,2020.0,151,202828.0
Farmoor,water,152.0,5,2020.0,152,13822.0
London Storages,water,152.0,5,2020.0,152,202828.0
Farmoor,water,153.0,6,2020.0,153,13822.0
London Storages,water,153.0,6,2020.0,153,202828.0
Farmoor,water,154.0,6,2020.0,154,13822.0
London Storages,water,154.0,6,2020.0,154,202828.0
Farmoor,water,155.0,6,2020.0,155,13822.0
London Storages,water,155.0,6,2020.0,155,202828.0
Farmoor,water,156.0,6,2020.0,156,13822.0
London Storages,water,156.0,6,2020.0,156,202828.0
Farmoor,water,157.0,6,2020.0,157,13822.0
London Storages,water,157.0,6,2020.0,157,202828.0
Farmoor,water,158.0,6,2020.0,158,13822.0
London Storages,water,158.0,6,2020.0,158,202828.0
Farmoor,water,159.0,6,2020.0,159,13822.0
London Storages,water,159.0,6,2020.0,159,202828.0
Farmoor,water,160.0,6,2020.0,160,13822.0
London Storages,water,160.0,6,2020.0,160,202828.0
Farmoor,water,161.0,6,2020.0,161,13822.0
London Storages,water,161.0,6,2020.0,161,202828.0
Farmoor,water,162.0,6,2020.0,162,13822.0
London Storages,water,162.0,6,2020.0,162,202828.0
Farmoor,water,163.0,6,2020.0,163,13822.0
London Storages,water,163.0,6,2020.0,163,202828.0
Farmoor,water,164.0,6,2020.0,164,13822.0
London Storages,water,164.0,6,2020.0,164,202828.0
Farmoor,water,165.0,6,2020.0,165,13822.0
London Storages,water,165.0,6,2020.0,165,202828.0
Farmoor,water,166.0,6,2020.0,166,13822.0
London Storages,water,166.0,6,2020.0,166,202828.0
Farmoor,water,167.0,6,2020.0,167,13822.0
London Storages,water,167.0,6,2020.0,167,202828.0
Farmoor,water,168.0,6,2020.0,168,13822.0
London Storages,water,168.0,6,2020.0,168,202828.0
Farmoor,water,169.0,6,2020.0,169,13822.0
London Storages,water,169.0,6,2020.0,169,202828.0
Farmoor,water,170.0,6,2020.0,170,13822.0
London Storages,water,170.0,6,2020.0,170,202828.0
Farmoor,water,171.0,6,2020.0,171,13822.0
London Storages,water,171.0,6,2020.0,171,202828.0
Farmoor,water,172.0,6,2020.0,172,13822.0
London Storages,water,172.0,6,2020.0,172,202828.0
Farmoor,water,173.0,6,2020.0,173,13822.0
London Storages,water,173.0,6,2020.0,173,202828.0
Farmoor,water,174.0,6,2020.0,174,13822.0
London Storages,water,174.0,6,2020.0,174,202828.0
Farmoor,water,175.0,6,2020.0,175,13822.0
London Storages,water,175.0,6,2020.0,175,202828.0
Farmoor,water,176.0,6,2020.0,176,13822.0
London Storages,water,176.0,6,2020.0,176,202828.0
Farmoor,water,177.0,6,2020.0,177,13796.9874
London Storages,water,177.0,6,2020.0,177,202808.7231
Farmoor,water,178.0,6,2020.0,178,13822.0
London Storages,water,178.0,6,2020.0,178,202779.165
Farmoor,water,179.0,6,2020.0,179,13804.90750000002
London Storages,water,179.0,6,2020.0,179,202828.0
Farmoor,water,180.0,6,2020.0,180,13822.0
